cell,D,I,C,T,status,end_to_end_s,speedup_vs_0000,primary_s,pricing_s,objective,bound,gap,committed,max_residual_pu,max_security_violation_pu,peak_gib,checker
0000,0,0,0,0,success,1605.225413400,1.000000,1268.919744700,316.996754100,-227104.888404466,-227130.709416239,0.000113696416,81,6.513698469e-09,6.508983574e-09,5.368690491,pass
1000,1,0,0,0,success,360.774901200,4.449382,56.156328500,285.470536700,-227041.741687125,-227143.685515978,0.000449009191,82,3.086049749e-09,1.370938252e-09,3.131706238,pass
0100,0,1,0,0,success,1557.850349500,1.030411,1222.227207400,316.623806600,-227104.888404466,-227130.709416239,0.000113696416,81,6.513698469e-09,6.508983574e-09,6.228431702,pass
0010,0,0,1,0,timed_out,1539.853945300,,1530.362397500,,,,,,,,5.073749542,
0001,0,0,0,1,success,1407.762707700,1.140267,1161.524491400,227.157022700,-227104.888404466,-227130.709416239,0.000113696416,81,6.513698469e-09,6.508983574e-09,6.127487183,pass
1100,1,1,0,0,success,419.471635800,3.826779,114.608222800,285.724682800,-227041.741687125,-227143.685515978,0.000449009191,82,3.086049749e-09,1.370938252e-09,3.149082184,pass
1010,1,0,1,0,success,414.769270300,3.870165,68.239278100,326.403502100,-227104.888404467,-227143.685515976,0.000170833450,81,7.244336242e-10,1.795396609e-10,3.431228638,pass
1001,1,0,0,1,success,288.529894300,5.563463,56.040638200,213.292511800,-227041.741687125,-227143.685515978,0.000449009191,82,3.086049749e-09,1.370938252e-09,3.215827942,pass
0110,0,1,1,0,timed_out,1461.677722900,,1376.853080600,,-221146.941487212,-227143.685515982,0.027116558739,,,,5.148540497,
0101,0,1,0,1,success,1492.357388700,1.075631,1244.833118700,228.324328900,-227104.888404466,-227130.709416239,0.000113696416,81,6.513698469e-09,6.508983574e-09,6.204666138,pass
0011,0,0,1,1,timed_out,1543.001293000,,1533.542288700,,,,,,,,5.056442261,
1110,1,1,1,0,success,487.356907500,3.293737,141.303960400,325.805598600,-227104.888404467,-227143.685515976,0.000170833450,81,7.244336242e-10,1.795396609e-10,3.390701294,pass
1101,1,1,0,1,success,348.791826200,4.602245,115.253354000,214.426491000,-227041.741687125,-227143.685515978,0.000449009191,82,3.086049749e-09,1.370938252e-09,3.225067139,pass
1011,1,0,1,1,success,335.312387200,4.787254,68.236979600,246.905056900,-227104.888404467,-227143.685515976,0.000170833450,81,7.244336242e-10,1.795396609e-10,3.444236755,pass
0111,0,1,1,1,timed_out,1461.686827500,,1378.274000100,,-221146.941487212,-227143.685515982,0.027116558739,,,,5.135017395,
1111,1,1,1,1,success,408.845820500,3.926237,141.443677900,247.268855900,-227104.888404467,-227143.685515976,0.000170833450,81,7.244336242e-10,1.795396609e-10,3.502826691,pass
